Designator,Comment,Footprint,JLCPCB Part #
"C7,C14",150pF,C0603,C1594
"D27,D28,D29,D30,D31,D32,D33,D34",1n4007W,SOD-123FL_L2.7-W1.8-LS3.8-RD,C18199088
C8,1500pF,C0603,C1595
C2,10nF,C0603,C57112
"C4,C5,C15",100nF,C0402,C1525
C20,100nF,C0603,C66501
"C6,C12",10uF,C0805,C15850
"R6,R8",22,R0603,C23345
"R7,R9,R11,R12,R13,R15,R29,R43,R46",33,R0603,C23140
R5,50,R0603,C23185
R3,300,R0603,C23025
R4,560,R0603,C23204
"R10,R16,R18,R21,R32,R33,R34,R35,R37,R38,R39,R60,R62,R64,R66,R68,R70,R72,R74",1k,R0603,C21190
"R22,R23",5.1k,R0603,C23186
R2,5k6,R0603,C23189
"R40,R41,R42,R44,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R59,R61,R63",10K,R0805,C17414
"R19,R20,R45,R47",100k,R0603,C25803
R36,0603WAF750JT5E,R0603,C4275
D20,1N4007W,SOD-123FL_L2.7-W1.8-LS3.8-RD,C18199088
C10,22uF - X5R,C1206,C12891
"C1,C13",4.7uF - X7R,C1206,C29823
"C3,C9,C11",47uF X5R,C1206,C96123
"Q7,Q10,Q11,Q12,Q13,Q14,Q15,Q16",AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C20917
U8,Memory,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,C97521
D4,SD15,SOD-323_L1.7-W1.3-LS2.6-RD,C2931147
L2,SL0650-150M,IND-SMD_L7.0-W6.6,C22463830
"D1,D3,D5,D6,D7,D8,D9,D10,D11,D12",SMF15A,SOD-123FL_L2.7-W1.8-LS3.8-RD,C19077509
"U11,U12,U13,U14,U15,U16,U17,U18",SRV05-4A,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,C20615829
D2,SS34,SMA_L4.3-W2.6-LS5.2-RD,C8678
U1,TC4428EOA713-TUDI,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C54858213
U6,TPS5430DDAR,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,C9864
SW1,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,C720477
USB1,TYPE-C 16PIN 2MD,USB-C-SMD_TYPE-C-16PIN-2MD-073,C2765186
L3,ZHT103,IND-TH_L18.2-W10.2-P12.00-D0.9_ZHT103,C2935356
U4,ZX-IDC2.54-2-13PZZ,IDC-TH_26P-P2.54_ZX-IDC2.54-2-13PZZ,C7501247
